HAB_ID,PACKET_NO,MISSION_TIME,TIMESTAMP,TEMPERATURE,PRESSURE,HUMIDITY,ALTITUDE,UV_INDEX,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,MAGNETIC_FIELD,LATITUDE,LONGITUDE,BATTERY_PERCENT,CAMERA_STATUS,STATUS_FLAG,RSSI,DSB_TEMP,AHT_TEMP,GPS_FIX,GPS_TIME,GPS_DATE
HAB-MUM-01,1,16:05:33,2026-06-06T16:05:33.606757,24.3,973.13,52.7,339.4,0.77,-6.0,-21.0,1021.0,0.0,0.0,0.0,0.0,19.076339,72.878039,100.0,ON,OK,0,23.4,23.9,1,160533,060626
HAB-MUM-01,1,16:12:25,2026-06-06T16:12:25.829463,24.5,987.05,45.6,220.4,3.77,88.0,65.0,1004.0,0.0,0.0,0.0,0.0,19.07622,72.87792,100.0,ON,OK,0,24.0,24.2,1,161225,060626
HAB-MUM-01,1,16:15:27,2026-06-06T16:15:27.123194,25.0,1013.25,50.0,0.0,3.56,94.0,45.0,1011.0,0.0,0.0,0.0,0.0,19.076,72.8777,100.0,ON,OK,0,24.4,25.4,1,161527,060626
HAB-MUM-01,1,16:18:32,2026-06-06T16:18:32.507516,25.0,1013.25,61.4,0.0,3.46,-36.0,67.0,1005.0,0.0,0.0,0.0,0.0,19.076,72.8777,100.0,ON,OK,0,24.0,24.6,1,161832,060626
HAB-MUM-01,2,16:05:34,2026-06-06T16:05:34.612739,23.7,941.33,54.6,616.6,0.55,-86.0,61.0,955.0,0.0,0.0,0.0,0.0,19.076617,72.878317,100.0,ON,OK,0,23.3,23.7,1,160534,060626
HAB-MUM-01,2,16:12:26,2026-06-06T16:12:26.833979,23.9,953.78,55.6,507.2,1.54,-50.0,23.0,1014.0,0.0,0.0,0.0,0.0,19.076507,72.878207,100.0,ON,OK,0,24.0,23.9,1,161226,060626
HAB-MUM-01,2,16:15:28,2026-06-06T16:15:28.129153,24.2,968.88,62.8,376.0,1.1,-59.0,66.0,1026.0,0.0,0.0,0.0,0.0,19.076376,72.878076,100.0,ON,OK,0,23.7,23.8,1,161528,060626
HAB-MUM-01,2,16:18:33,2026-06-06T16:18:33.511274,24.3,975.76,67.0,316.8,0.55,100.0,-47.0,1048.0,0.0,0.0,0.0,0.0,19.076317,72.878017,100.0,ON,OK,0,23.4,24.4,1,161833,060626
HAB-MUM-01,3,16:05:35,2026-06-06T16:05:35.619129,23.0,900.82,54.4,981.0,3.7,-37.0,57.0,1000.0,0.0,0.0,0.0,0.0,19.076981,72.878681,100.0,ON,OK,0,23.1,23.5,1,160535,060626
HAB-MUM-01,3,16:12:27,2026-06-06T16:12:27.839719,23.1,909.48,58.3,902.1,3.67,-69.0,-46.0,1010.0,0.0,0.0,0.0,0.0,19.076902,72.878602,100.0,ON,OK,0,22.8,23.4,1,161227,060626
HAB-MUM-01,3,16:15:29,2026-06-06T16:15:29.134622,23.8,944.42,62.0,589.4,2.73,87.0,66.0,989.0,0.0,0.0,0.0,0.0,19.076589,72.878289,100.0,ON,OK,0,24.3,23.9,1,161529,060626
HAB-MUM-01,3,16:18:34,2026-06-06T16:18:34.515986,23.8,943.25,46.1,599.7,3.9,-93.0,35.0,962.0,0.0,0.0,0.0,0.0,19.0766,72.8783,100.0,ON,OK,0,24.2,23.7,1,161834,060626
HAB-MUM-01,4,16:05:36,2026-06-06T16:05:36.625927,22.2,860.19,48.0,1360.1,2.42,-95.0,-55.0,1041.0,0.0,0.0,0.0,0.0,19.07736,72.87906,100.0,ON,OK,0,22.8,22.1,1,160536,060626
HAB-MUM-01,4,16:12:28,2026-06-06T16:12:28.845344,22.5,873.75,68.5,1232.0,2.35,-23.0,62.0,982.0,0.0,0.0,0.0,0.0,19.077232,72.878932,100.0,ON,OK,0,22.1,22.7,1,161228,060626
HAB-MUM-01,4,16:15:30,2026-06-06T16:15:30.137855,23.1,908.82,45.2,908.1,0.56,-60.0,65.0,1012.0,0.0,0.0,0.0,0.0,19.076908,72.878608,100.0,ON,OK,0,23.3,23.1,1,161530,060626
HAB-MUM-01,4,16:18:35,2026-06-06T16:18:35.520100,23.3,918.85,45.9,817.3,1.27,35.0,78.0,998.0,0.0,0.0,0.0,0.0,19.076817,72.878517,100.0,ON,OK,0,23.3,23.3,1,161835,060626
HAB-MUM-01,5,16:05:37,2026-06-06T16:05:37.632616,21.7,831.13,57.6,1640.2,3.97,35.0,95.0,1050.0,0.0,0.0,0.0,0.0,19.07764,72.87934,100.0,ON,OK,0,22.0,21.6,1,160537,060626
HAB-MUM-01,5,16:12:29,2026-06-06T16:12:29.853897,21.9,840.82,47.3,1545.9,1.9,39.0,-83.0,970.0,0.0,0.0,0.0,0.0,19.077546,72.879246,100.0,ON,OK,0,22.1,21.9,1,161229,060626
HAB-MUM-01,5,16:15:31,2026-06-06T16:15:31.145204,22.5,876.5,47.1,1206.2,2.61,76.0,53.0,968.0,0.0,0.0,0.0,0.0,19.077206,72.878906,100.0,ON,OK,0,21.5,22.0,1,161531,060626
HAB-MUM-01,5,16:18:36,2026-06-06T16:18:36.525166,22.9,893.68,47.4,1046.6,0.73,-80.0,-82.0,1008.0,0.0,0.0,0.0,0.0,19.077047,72.878747,100.0,ON,OK,0,22.7,22.6,1,161836,060626
